Adv Roll No,CRL,SC
247046197,13662,356
246039090,13711,357
241042472,13733,358
246099015,13747,359
246065167,13763,360
242021065,13820,361
244016202,13868,362
246165029,13914,363
241058128,13938,364
247053038,13945,365
245009215,13999,366
247044101,14032,367
241033194,14085,368
244036481,14087,369
247032065,14135,370
242004432,14155,371
245058441,14198,372
242030332,14223,373
244055067,14292,374
245065283,14356,375
245054215,14406,376
241005133,14451,377
242051078,14461,378
241116390,14471,379
241051085,14506,380
247018721,14518,381
242009099,14526,382
244057411,14540,383
241003531,14553,384
244010131,14630,385
246035020,14632,386
241049625,14687,387
242096108,14736,388
245037015,14750,389
245005446,14846,390
246049213,14978,391
247031038,14991,392
246154086,15005,393
244068158,15024,394
244009448,15038,395
247018533,15062,396
241133378,15071,397
247018166,15093,398
241135623,15103,399
241011002,15127,400
246081243,15134,401
241117022,15241,402
242075184,15269,403
242036177,15309,404
241051024,15333,405
244047219,15358,406
242044070,15361,407
242101089,15446,408
242093424,15460,409
247003141,15471,410
242040262,15487,411
244010103,15527,412
245020194,15584,413
246158550,15618,414
241054191,15620,415
242001448,15644,416
246014131,15708,417
241109226,15728,418
241054186,15858,419
241026018,15873,420
241124069,15875,421
242084236,15900,422
247038094,15921,423
246042176,15937,424
241049217,15971,425
242005129,15986,426
245020425,15991,427
241081044,16077,428
246012169,16129,429
246052436,16150,430
242053329,16152,431
242091178,16155,432
242007183,16162,433
242077289,16181,434
245023079,16195,435
246026069,16215,436
241087016,16238,437
241053400,16277,438
244025381,16287,439
241114014,16341,440
244053039,16344,441
246027208,16350,442
241043114,16355,443
241083193,16392,444
246055045,16403,445
247041310,16418,446
246050107,16428,447
246123067,16436,448
244036230,16458,449
244071069,16462,450
242053419,16500,451
242078020,16554,452
245027089,16583,453
242050210,16607,454
244037292,16622,455
241009099,16638,456
245058189,16666,457
247051425,16670,458
247038162,16673,459
246044075,16712,460
245059101,16745,461
241137107,16758,462
246144224,16781,463
246161668,16787,464
246035213,16789,465
242071031,16794,466
241086009,16803,467
241017158,16805,468
244003015,16827,469
247010102,16840,470
247041262,16866,471
246053425,16896,472
242025268,16907,473
247024063,16926,474
246103391,16950,475
244033396,16974,476
246150055,16985,477
242011160,17005,478
242004007,17024,479
242075514,17045,480
246122062,17062,481
246162093,17086,482
246191028,17096,483
242043216,17139,484
243052525,17153,485
243011264,17164,486
241150068,17181,487
242078127,17319,488
243004085,17362,489
241004397,17364,490
246012077,17367,491
241116050,17393,492
244002171,17440,493
242090163,17458,494
246016059,17467,495
241139123,17491,496
245064145,17501,497
241134720,17504,498
244077013,17558,499
242016042,17562,500
242065087,17577,501
243052551,17616,502
246155115,17679,503
245063557,17682,504
242072278,17683,505
241134657,17690,506
247029080,17727,507
243037145,17796,508
243034201,17822,509
246161108,17888,510
246157686,17896,511
241075124,17900,512
242009157,17904,513
241102256,17972,514
247016175,18027,515
246163517,18032,516
242046059,18035,517
244002058,18066,518
246173016,18085,519
243022133,18092,520
245058383,18098,521
241110386,18123,522
242031285,18156,523
242003140,18160,524
244014211,18179,525
241111032,18220,526
244053295,18242,527
246158660,18251,528
246149343,18261,529
243011283,18267,530
244014136,18272,531
242036275,18287,532
246041055,18302,533
246163088,18342,534
246134106,18391,535
242014198,18428,536
245057359,18436,537
246119263,18471,538
247036134,18481,539
246035216,18502,540
247036131,18619,541
247010131,18624,542
242030216,18650,543
241119068,18693,544
247043173,18701,545
246148054,18705,546
241025175,18712,547
242101111,18715,548
242091022,18718,549
241100054,18722,550
241094305,18727,551
246035318,18817,552
245067156,18844,553
241080268,18847,554
246056023,18872,555
245066366,18911,556
244046150,18922,557
241053138,18952,558
242086074,18954,559
242026161,19011,560
246012132,19013,561
242079024,19029,562
241111145,19075,563
242043254,19176,564
244029136,19201,565
246047115,19202,566
247003207,19213,567
246161382,19256,568
245066368,19280,569
243037102,19324,570
246166158,19393,571
245066388,19413,572
241069055,19426,573
244057288,19438,574
242031104,19477,575
247004586,19500,576
241058136,19503,577
245037034,19514,578
242062098,19556,579
244057023,19569,580
242019367,19574,581
244009202,19577,582
246039296,19610,583
241011020,19630,584
247052197,19641,585
