Adv Roll No,CRL,SC
255067203,13415,357
257013361,13441,358
251110810,13486,359
251070243,13517,360
251117369,13531,361
252010124,13537,362
257020197,13540,363
254065222,13543,364
257039376,13569,365
251071588,13587,366
256033044,13621,367
251047080,13639,368
252102115,13718,369
251097057,13719,370
254017263,13766,371
256114058,13827,372
256145269,13915,373
252006214,13926,374
257049316,13948,375
252018237,13981,376
256174510,13996,378
251120330,14100,379
252081232,14101,380
252071211,14140,381
252093232,14151,382
252073412,14168,384
256146061,14235,385
252027438,14239,386
251130247,14253,387
253049061,14392,388
251067232,14409,389
253009096,14472,390
251050453,14506,391
251113042,14536,392
251124124,14582,393
251041004,14583,394
256047117,14598,395
256046153,14640,396
256147450,14646,397
251119063,14657,398
252031372,14672,399
251110437,14688,400
255065272,14690,401
254043043,14725,402
257054294,14786,403
256178007,14806,404
254004126,14847,405
254016176,14871,406
252053099,14903,407
257018224,14912,408
255067364,14917,409
256115059,14929,410
256055290,14940,411
256125170,14948,412
251094160,14998,413
256016006,15000,414
256044121,15016,415
256171255,15043,416
256121059,15053,417
252055139,15073,418
254057077,15075,419
256146382,15118,420
255002035,15159,421
251007372,15183,422
254060072,15227,423
256139088,15246,424
251091151,15257,425
257039437,15498,426
252008149,15526,427
256010029,15529,428
257016268,15541,429
257045198,15554,430
252028112,15583,431
257040338,15666,432
257043136,15709,433
252079341,15719,434
256047216,15738,435
256057020,15745,436
252027174,15782,437
252080423,15787,438
254004457,15916,439
256157027,15938,441
251003102,15978,442
251158129,16051,443
257026436,16059,444
252081499,16077,445
254027270,16078,446
255048042,16138,447
251130262,16141,448
251164010,16153,449
255058195,16159,450
251045053,16181,451
251122042,16197,452
256047001,16261,453
256170269,16285,454
251143034,16305,455
252079055,16346,456
254005315,16379,457
251146239,16492,459
252018280,16500,460
257045461,16538,461
252100101,16573,462
255016053,16580,463
254005440,16585,464
252066184,16701,465
254049016,16718,466
257017316,16758,467
256045171,16844,468
257040086,16862,469
251042420,16899,470
256058037,16900,471
252040011,16932,472
256162098,16945,473
253049057,16978,474
255003058,17053,475
256174303,17201,476
255061113,17219,477
254033068,17278,479
255063244,17293,480
251050697,17406,481
251123026,17465,482
255021315,17476,483
256045195,17516,484
251032096,17587,485
253030143,17603,486
