Adv Roll No,ST
252098207,1
251043088,2
251007330,3
255021050,4
256179210,5
252070217,6
256161111,7
256052031,8
256058278,9
251045252,10
251042258,11
256170570,12
256170663,13
252033146,14
256133037,15
252031669,16
256125257,17
252057083,18
256192028,19
251061048,20
251117523,21
256169390,22
251113139,23
252047373,24
256131072,25
256127145,26
256127213,27
256166096,28
256161284,29
252014012,30
255013091,31
256134045,32
256134030,33
252080403,34
254005439,35
251050129,36
252053204,37
256045069,38
252080366,39
252063062,40
252093123,41
252031385,42
251022019,43
256146044,44
251014145,45
252058290,46
252004230,47
252073127,48
251110838,49
251008033,50
256126134,51
252032003,52
254055192,53
255041116,54
256127186,55
256126136,56
252092349,57
251146181,58
256061134,59
251117247,60
255011084,61
252051339,62
256147239,63
256135115,64
256125062,65
256159327,66
256057273,67
256152005,68
252085162,69
251004449,70
256147226,71
256164240,72
252065117,73
252088113,74
255013001,75
256195171,76
256019060,77
256159157,78
251041120,79
256072037,80
252038096,81
252031585,82
256132004,83
251057061,84
256167132,85
256106313,86
256146482,87
256147082,88
256147168,89
251142352,90
252038407,91
252081185,92
257037220,93
255030041,94
256169340,95
256099109,96
252054185,97
256151038,98
252059084,99
251068260,100
256135172,101
256175311,102
251051179,103
251143595,104
256147147,105
256166285,106
252041034,107
256149013,108
253007090,109
256147348,110
256055223,111
251070318,112
256146432,113
256071168,114
256178179,115
252070156,116
256165077,117
256166347,118
251126011,119
256167407,120
251059012,121
251021307,122
256144034,123
256140046,124
256047005,125
252064415,126
257029162,127
256167029,128
252044077,129
252040021,130
256146439,131
256146206,132
251141303,133
251054144,134
252065089,135
251054049,136
255039104,137
255004296,138
253007057,139
251105045,140
251147081,141
251007466,142
251074156,143
256198174,144
252019121,145
256141017,146
256180034,147
256147242,148
256167277,149
256168283,150
255013255,151
251028051,152
256169018,153
256147391,154
256126055,155
253002243,156
252060013,157
251148146,158
254012459,159
252088028,160
251057078,161
256146442,162
257053109,163
254002081,164
252057108,165
256172029,166
253049041,167
257029167,168
256165434,169
256179200,170
256158165,171
252006339,172
252058335,173
256032382,174
256061210,175
251033027,176
256137021,177
256125065,178
252060318,179
256129105,180
257049247,181
253007117,182
252051120,183
256169195,184
252034097,185
256129051,186
251026017,187
252033094,188
251141172,189
256177032,190
252078065,191
256155027,192
256170300,193
256056002,194
256071261,195
256195154,196
256164212,197
256146130,198
255017228,199
251040086,200
256138011,201
254001036,202
253002006,203
256168251,204
256175245,205
254016089,206
256178122,207
252031438,208
256135105,209
251110510,210
256179198,211
252056144,212
252031040,213
252031437,214
252049140,215
257043467,216
256145097,217
256129291,218
251146283,219
252092412,220
254005476,221
252031375,222
256059235,223
252031309,224
253049440,225
256145192,226
256170008,227
257049188,228
251130269,229
256170552,230
257031076,231
251105213,232
256179188,233
256140082,234
256146221,235
252050487,236
256170745,237
256159332,238
255023298,239
255067170,240
251014177,241
252059064,242
252098041,243
256133231,244
256145095,245
256043278,246
256035308,247
251159236,248
255055425,249
252081419,250
252061104,251
251143299,252
256143064,253
256115301,254
252072093,255
252046298,256
256014084,257
256175053,258
251068309,259
252067088,260
252064098,261
252059296,262
252094065,263
256144074,264
256179171,265
256163022,266
252027300,267
252065069,268
253022023,269
256055212,270
251068076,271
256182115,272
256175092,273
256173195,274
254063007,275
253001104,276
256166211,277
256148375,278
251161017,279
252093208,280
256168392,281
256150208,282
256148343,283
252074215,284
256061116,285
256194132,286
256139082,287
252092053,288
254034219,289
256174179,290
255032044,291
256132124,292
254061126,293
252050297,294
255011145,295
256172040,296
256149036,297
256174255,298
