Adv Roll No,SC
253047118,532
252019197,533
255066019,534
254045113,535
253039047,536
256161341,537
254001260,538
252016238,539
256162348,540
252101235,541
255065294,542
256058345,543
252060087,544
255006049,545
252004388,546
257029130,547
252035078,548
251113069,549
252084101,550
257023448,551
251048235,552
251013005,553
251027021,554
256099169,555
256043206,556
256169093,557
257045192,558
254042249,559
256150046,560
256148383,561
254006136,562
254063159,563
257014372,564
254035368,565
257037387,566
252060456,567
256061327,568
251149008,569
255065185,570
255063079,571
257034370,572
252047111,573
251007392,574
256019179,575
255064201,576
256019058,577
253030027,578
256181033,579
257052125,580
257054329,581
251112097,582
254034148,583
252052206,584
254004357,585
256170435,586
256166128,587
255064518,588
257023224,589
255064079,590
252040077,591
256057416,592
257034083,593
256055328,594
251146281,595
254023088,596
252061054,597
252070052,598
257032100,599
251051094,600
254032348,601
257043306,602
256195323,603
251007061,604
252010216,605
257037281,606
253046135,607
251143170,608
256003092,609
253033085,610
252056397,611
252013266,612
253030073,613
251121166,614
257001444,615
256043504,616
254025176,617
257040089,618
252101338,619
251016040,620
252080418,621
251161036,622
251118339,623
253049246,624
255017477,625
252098160,626
254030381,627
256147476,628
256095133,629
255053178,630
253024254,631
255009058,632
257016603,633
253049628,634
257022240,635
252105145,636
256057296,637
251122200,638
251135136,639
252061162,640
252085034,641
252054043,642
256106481,643
252082032,644
255058378,645
251039264,646
255066577,647
251109067,648
252004543,649
255023481,650
251117429,651
253049573,652
251022016,653
257041135,654
256137017,655
254044047,656
256149278,657
256181120,658
256193025,659
251125331,660
255068158,661
254031298,662
257028098,663
251121268,664
257009140,665
252093230,666
251147158,667
251146205,668
254028081,669
255055126,670
256122311,671
257013284,672
257054159,673
254057172,674
251113133,675
256048013,676
257017032,677
256046030,678
257013423,679
253023149,680
256035071,681
252072058,682
253032075,683
254044239,684
251101424,685
252077180,686
252033165,687
251053119,688
251147073,689
257001261,690
254049147,691
251118025,692
257005164,693
251141210,694
256014156,695
255053093,696
251060030,697
256099153,698
255027186,699
256058045,700
255068079,701
253021084,702
257045033,703
256171215,704
255064285,705
251117488,706
257029259,707
255063241,708
255063267,709
251159304,710
256010026,711
252058205,712
251146180,713
252005333,714
251130366,715
257036033,716
256095464,717
257026134,718
251051069,719
251050620,720
254035421,721
254042478,722
255052128,723
255064020,724
257039425,725
252090134,726
255010061,727
252021171,728
252028088,729
251147056,730
254047115,731
251015059,732
256015175,733
252014119,734
252028142,735
256002076,736
251048173,737
257043147,738
254001389,739
256071268,740
256035023,741
252033021,742
256158157,743
256053049,744
251105216,745
254006107,746
251121225,747
253049513,748
257029127,749
251117400,750
251047073,751
254011168,752
252082138,753
256071180,754
251122217,755
251082439,756
257028372,757
257037421,758
251084045,759
251050593,760
251127065,761
255015139,762
251141548,763
252003244,764
254040289,765
252051360,766
254038056,767
252068247,768
255056179,769
256122361,770
255047223,771
251141166,772
255055405,773
252051050,774
255023041,775
252072150,776
251007741,777
257017021,778
256095432,779
256010027,780
252009140,781
251139081,782
254061078,783
256108104,784
257020053,785
256177213,786
255050012,787
254060159,788
251148071,789
253049627,790
251047313,791
256166869,792
257028027,793
251081071,794
251113123,795
257054029,796
255018146,797
254036098,798
251019041,799
257053044,800
256160024,801
257028083,802
251004201,803
256145094,804
252098195,805
252101378,806
251149042,807
257027579,808
251151006,809
252064315,810
251046016,811
252011037,812
257023280,813
256131174,814
256057448,815
252034222,816
255038190,817
252032241,818
251052048,819
255017372,820
255053107,821
252012046,822
257014311,823
252080098,824
257037444,825
255051279,826
253025097,827
251128031,828
257027321,829
251117224,830
257027092,831
251069031,832
252102221,833
252010285,834
254056256,835
255047228,836
256021160,837
257037274,838
254032103,839
251082442,840
254016238,841
254036090,842
251141463,843
251110084,844
256061414,845
253049273,846
257020174,847
256052065,848
257014551,849
251060021,850
251157139,851
257037180,852
251142630,853
252105203,854
253012360,855
252093186,856
251145388,857
254020305,858
256052053,859
256119101,860
257044385,861
257028194,862
255055482,863
252002063,864
251090326,865
254019209,866
251120235,867
255008141,868
252084168,869
251117564,870
251050040,871
257039242,872
251145450,873
257026222,874
256173001,875
252099126,876
254042121,877
256010140,878
251110453,879
256119242,880
254011481,881
257014496,882
256102098,883
256175269,884
255067191,885
251007518,886
254055022,887
252084220,888
252007320,889
252010409,890
251089193,891
256024081,892
251032042,893
252048215,894
254038250,895
257045061,896
256169425,897
256019094,898
254030180,899
252016436,900
255051187,901
251145086,902
252035158,903
254040259,904
251043118,905
251117194,906
252080406,907
251145068,908
251117580,909
251110605,910
254030439,911
256006117,912
252084402,913
251108385,914
252104125,915
257029300,916
251046043,917
251124099,918
257043429,919
256174415,920
256115230,921
251105072,922
251109254,923
251071685,924
251068157,925
252104233,926
252027287,927
254018177,928
256083007,929
254040010,930
255027170,931
254014344,932
253049064,933
252054094,934
257005128,935
256049039,936
256052180,937
254005182,938
256005001,939
251124158,940
252011043,941
252007189,942
252054141,943
252060180,944
256126034,945
252050207,946
256161302,947
251083077,948
257004054,949
251050090,950
252058026,951
251117401,952
257018293,953
